BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
230,148,1,22-08-20 20:39,90,F0000,1,5
230,154,1,15-08-20 22:39,22,F0000,1,4
230,154,1,18-08-20 20:39,22,F4579,2,1
230,154,1,20-08-20 20:59,22,F1288,1,2
230,154,1,28-08-20 20:35,22,F4743,2,1
230,155,1,23-08-20 20:38,27,F0000,2,2
230,155,1,24-08-20 20:35,27,F3485,1,3
230,155,1,25-08-20 20:54,27,F4214,1,2
230,155,1,29-08-20 20:33,27,F2418,1,1
230,156,1,14-08-20 22:51,30,F0000,1,4
230,156,1,27-08-20 21:15,30,F2251,2,3
230,160,1,21-08-20 20:34,25,F2664,1,1
230,161,1,21-08-20 20:34,12,F2664,2,5
230,161,3,17-08-20 20:48,12,F0000,1,3
230,162,1,21-08-20 20:34,18,F2664,3,2
230,168,1,26-08-20 20:50,27,F4194,1,2
230,169,1,27-08-20 21:15,25,F2251,1,2
231,12,1,14-08-20 22:52,30,F0000,1,3
231,21,1,20-08-20 20:59,30,F2553,3,2
231,107,2,19-08-20 20:30,10,F4444,1,3
231,108,1,21-08-20 20:34,20,F4553,3,1
231,124,1,29-08-20 20:33,25,F3260,2,3
231,128,1,15-08-20 22:39,25,F0000,1,5
231,128,1,22-08-20 20:39,25,F4564,1,3
231,128,1,24-08-20 20:35,25,F4777,1,3
231,128,2,21-08-20 20:34,25,F4553,1,4
231,129,1,26-08-20 20:50,16,F4360,1,2
231,139,1,14-08-20 22:52,21,F0000,2,2
231,139,1,28-08-20 20:35,21,F4852,1,1
231,148,1,16-08-20 22:13,90,F0000,1,5
231,148,1,18-08-20 20:40,90,F4816,1,5
231,151,1,18-08-20 20:40,12,F4816,2,1
231,151,4,20-08-20 20:59,12,F2553,2,2
231,154,1,19-08-20 20:30,22,F4444,2,3
231,154,1,24-08-20 20:35,22,F4777,2,4
231,154,1,29-08-20 20:33,22,F3260,3,4
231,154,2,21-08-20 20:34,22,F4553,2,5
231,155,1,16-08-20 22:13,27,F0000,2,1
231,155,1,18-08-20 20:40,27,F4816,3,5
231,155,1,22-08-20 20:39,27,F4564,2,4
231,156,1,12-08-20 22:47,30,F0000,1,4
231,156,1,28-08-20 20:35,30,F4852,2,5
231,161,1,23-08-20 20:38,12,F0000,1,2
231,163,1,17-08-20 20:49,20,F3732,1,4
231,164,1,13-08-20 22:33,85,F0000,1,5
231,164,1,20-08-20 20:59,81,F2553,1,2
231,168,1,27-08-20 21:16,27,F2091,1,2
231,169,1,29-08-20 20:33,25,F3260,1,4
231,170,1,25-08-20 20:54,20,F4021,1,1
232,2,1,20-08-20 20:59,8,F1019,1,5
232,12,1,24-08-20 20:35,30,F4757,1,5
232,12,1,28-08-20 20:35,30,F2084,1,5
232,16,1,13-08-20 22:33,5,F0000,1,5
232,19,1,21-08-20 20:34,20,F2404,2,5
232,123,1,20-08-20 20:59,8,F1019,2,5
232,128,1,24-08-20 20:35,25,F4757,2,4
232,128,1,26-08-20 20:50,25,F3150,2,5
232,130,1,26-08-20 20:50,21,F3150,1,1
232,132,1,23-08-20 20:38,21,H2140,1,4
232,134,1,17-08-20 20:49,15,F3353,1,1
232,148,1,16-08-20 22:14,90,F0000,1,4
232,148,1,18-08-20 20:40,90,F4063,1,4
232,151,2,16-08-20 22:14,12,F0000,2,4
232,151,2,18-08-20 20:40,12,F4063,2,1
232,151,2,22-08-20 20:39,12,F4744,2,2
232,151,2,29-08-20 20:33,12,H2228,2,2
232,154,1,25-08-20 20:54,22,F1407,1,4
232,154,1,27-08-20 21:17,22,F5371,1,2
232,155,1,12-08-20 22:47,27,F0000,1,3
232,156,1,15-08-20 22:39,30,F0000,1,1
232,157,1,12-08-20 22:47,32,F0000,2,2
232,161,1,14-08-20 22:52,12,F0000,1,3
232,161,1,17-08-20 20:49,12,F3353,2,1
232,161,1,19-08-20 20:30,12,F5428,3,3
232,161,1,25-08-20 20:54,12,F1407,2,2
232,163,1,18-08-20 20:40,20,F4063,3,1
232,164,1,22-08-20 20:39,81,F4744,1,4
232,164,1,29-08-20 20:33,81,H2228,1,3
232,167,1,19-08-20 20:30,10,F5428,1,5
232,169,1,19-08-20 20:30,25,F5428,2,4
232,169,1,21-08-20 20:34,25,F2404,1,5
233,21,1,20-08-20 20:59,30,F3449,2,3
233,26,2,28-08-20 20:35,5,F3247,2,4
233,124,1,28-08-20 20:35,25,F3247,1,4
233,124,1,29-08-20 20:34,25,F1776,1,5
233,128,1,12-08-20 22:47,25,F3259,1,4
233,128,1,16-08-20 22:14,25,F0000,2,4
233,130,1,22-08-20 20:39,21,F4443,1,4
233,130,1,26-08-20 20:50,21,F4778,1,5
233,135,1,13-08-20 22:33,21,F0000,4,1
233,135,1,15-08-20 22:40,21,F0000,1,5
233,135,1,16-08-20 22:14,21,F0000,1,5
233,146,1,18-08-20 20:40,85,F4536,1,4
233,148,1,24-08-20 20:35,90,F3822,1,5
233,148,1,25-08-20 20:54,90,F2751,1,4
233,151,2,13-08-20 22:33,12,F0000,2,4
233,151,2,18-08-20 20:40,12,F4536,2,4
233,154,1,17-08-20 20:49,22,F1384,1,5
233,154,1,19-08-20 20:30,22,F0000,1,1
233,154,3,27-08-20 21:17,22,F1052,1,3
233,155,1,20-08-20 20:59,27,F3449,1,1
233,155,1,21-08-20 20:35,27,F3137,1,2
233,156,1,13-08-20 22:33,30,F0000,3,4
233,156,1,21-08-20 20:35,30,F3137,2,5
233,156,1,23-08-20 20:38,30,F2321,1,3
233,159,1,25-08-20 20:54,20,F2751,2,3
233,159,4,27-08-20 21:17,20,F1052,2,5
233,163,1,14-08-20 22:53,20,F0000,1,1
233,163,1,18-08-20 20:40,20,F4536,3,5
233,164,1,13-08-20 22:33,85,F0000,1,4
234,2,1,22-08-20 20:39,8,F5803,3,5
234,12,2,13-08-20 22:33,30,F0000,1,4
234,14,1,26-08-20 20:50,10,F2584,2,1
234,15,1,22-08-20 20:39,35,F5803,1,2
234,15,1,24-08-20 20:35,35,F4263,2,1
234,26,1,26-08-20 20:50,5,F2584,1,4
234,51,1,16-08-20 22:15,15,F0000,2,5
234,128,1,22-08-20 20:39,25,F5803,2,4
234,129,1,28-08-20 20:35,16,F3570,1,2
234,134,1,15-08-20 22:40,15,F0000,1,3
234,146,1,19-08-20 20:31,85,F0000,2,4
234,148,1,24-08-20 20:35,90,F4263,1,3
234,148,1,29-08-20 20:34,90,F4426,1,2
234,148,2,18-08-20 20:40,90,F4584,1,3
234,151,2,18-08-20 20:40,12,F4584,2,2
234,151,2,19-08-20 20:31,12,F0000,1,2
234,151,2,23-08-20 20:39,12,F0000,1,3
234,151,4,20-08-20 20:59,12,F4512,1,1
234,154,1,12-08-20 22:48,22,F0000,1,5
234,154,1,21-08-20 20:35,22,F2456,1,5
234,154,3,20-08-20 20:59,22,F4512,3,5
234,155,1,14-08-20 22:54,27,F0000,1,3
234,155,1,16-08-20 22:15,27,F0000,1,4
234,155,1,18-08-20 20:40,27,F4584,3,2
234,155,1,24-08-20 20:35,27,F4263,3,5
234,155,1,25-08-20 20:55,27,F0000,1,3
234,159,1,17-08-20 20:50,20,F3765,1,3
234,164,1,20-08-20 20:59,81,F4512,2,2
234,166,1,23-08-20 20:39,85,F0000,2,3
234,167,1,27-08-20 21:17,10,F5640,1,3
235,12,1,13-08-20 22:33,30,F0000,1,5
235,12,2,20-08-20 21:00,30,F1596,1,4
235,16,1,16-08-20 22:15,5,F0000,1,1
235,16,1,18-08-20 20:40,5,F5494,2,1
235,50,1,28-08-20 20:35,20,F3181,1,3
235,128,1,12-08-20 22:49,25,F0000,1,5
235,130,3,22-08-20 20:40,21,F0000,1,2
235,146,1,19-08-20 20:31,85,F1078,1,4
235,148,1,23-08-20 20:39,90,F2321,1,3
235,151,2,21-08-20 20:36,12,F4437,2,2
