Consequent	Antecedent 	Support %	Confidence %
ItemName_Masala Dosa	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Plain Maggi	StudentIDval_3 and hours_23	1.788	8.333
ItemName_Plain Maggi	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Chicken Sandwich	StudentIDval_3 and hours_23	1.788	8.333
ItemName_Chicken Sandwich	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Chese Toast	StudentIDval_3 and hours_23	1.788	8.333
ItemName_Chese Toast	StudentIDval_6 and hours_24	1.788	8.333
ItemName_PULPY ORANGE	StudentIDval_3 and hours_23	1.788	8.333
ItemName_PULPY ORANGE	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Butter Naan	StudentIDval_3 and hours_23	1.788	8.333
ItemName_Butter Naan	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Ice Cream Shake	StudentIDval_3 and hours_23	1.788	8.333
ItemName_Ice Cream Shake	StudentIDval_6 and hours_24	1.788	8.333
ItemName_COKE MIX 600 ML	StudentIDval_3 and hours_23	1.788	8.333
ItemName_COKE MIX 600 ML	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Butter Naan	hours_21	15.052	7.921
ItemName_Ice Cream Shake	hours_21	15.052	7.921
ItemName_COKE MIX 600 ML	hours_21	15.052	7.921
ItemName_Plain Maggi	StudentIDval_4	7.601	7.843
ItemName_Chicken Sandwich	StudentIDval_7	7.601	7.843
ItemName_Chese Toast	StudentIDval_7	7.601	7.843
ItemName_Butter Naan	StudentIDval_7	7.601	7.843
ItemName_Plain Maggi	StudentIDval_2	7.75	7.692
ItemName_COKE CAN	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Fried Maggi	StudentIDval_6 and hours_23	1.937	7.692
ItemName_PEPSI 600ML	StudentIDval_6 and hours_23	1.937	7.692
ItemName_SAMOSA CHAT	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Butter Chicken	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Masala Dosa	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Plain Maggi	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Chicken Sandwich	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Chese Toast	StudentIDval_6 and hours_23	1.937	7.692
ItemName_PULPY ORANGE	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Butter Naan	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Ice Cream Shake	StudentIDval_6 and hours_23	1.937	7.692
ItemName_COKE MIX 600 ML	StudentIDval_6 and hours_23	1.937	7.692
ItemName_Butter Chicken	hours_20	15.648	7.619
ItemName_Chicken Sandwich	hours_22	15.648	7.619
ItemName_PULPY ORANGE	hours_22	15.648	7.619
ItemName_Butter Naan	hours_22	15.648	7.619
ItemName_Butter Naan	hours_20	15.648	7.619
ItemName_Ice Cream Shake	hours_22	15.648	7.619
ItemName_Ice Cream Shake	hours_20	15.648	7.619
