Consequent	Antecedent 	Support %	Confidence %
ItemName_Plain Dosa	hours_25	6.91	2.778
ItemName_KADHAI PANEER	hours_25	6.91	2.778
ItemName_Samosa	hours_25	6.91	2.778
ItemName_PULPY ORANGE	hours_25	6.91	2.778
ItemName_Butter Chicken	hours_25	6.91	2.778
ItemName_Masala Dosa	hours_25	6.91	2.778
ItemName_BINOG CHIP @10	hours_25	6.91	2.778
ItemName_Chicken Sandwich	hours_25	6.91	2.778
ItemName_Ice Cream Shake	hours_25	6.91	2.778
ItemName_PEPSI 600ML	hours_22 and StudentIDval_8	6.91	2.778
ItemName_COKE 600 ML 	hours_22 and StudentIDval_8	6.91	2.778
ItemName_DUKE WAFFY BISCUIT	hours_22 and StudentIDval_8	6.91	2.778
ItemName_DEW MIX	hours_22 and StudentIDval_8	6.91	2.778
